dev_eui	device_name	device_profile
8cf9572000193af9	68750000076884-82	Tagmeter Ultrasonic Water Meter
8cf9572000191b85	68750000076885-73	Tagmeter Ultrasonic Water Meter
8cf9572000192f73	68750000076886-83	Tagmeter Ultrasonic Water Meter
8cf9572000193405	68750000076887-23	Tagmeter Ultrasonic Water Meter
8cf9572000193cbf	68750000076888-12	Tagmeter Ultrasonic Water Meter
8cf95720001938f7	68750000076889-14	Tagmeter Ultrasonic Water Meter
8cf9572000192f27	68750000076890-52	Tagmeter Ultrasonic Water Meter
8cf9572000192942	68750000076891-64	Tagmeter Ultrasonic Water Meter
8cf9572000192c1a	68750000076892-9	Tagmeter Ultrasonic Water Meter
8cf9572000193972	68750000076893-66	Tagmeter Ultrasonic Water Meter
8cf95720001934c3	68750000076894-39	Tagmeter Ultrasonic Water Meter
8cf9572000193b35	68750000076895-60	Tagmeter Ultrasonic Water Meter
8cf9572000193aa4	68750000076896-32	Tagmeter Ultrasonic Water Meter
8cf95720001934c8	68750000076897-70	Tagmeter Ultrasonic Water Meter
8cf9572000192c25	68750000076898-99	Tagmeter Ultrasonic Water Meter
8cf95720001922d7	68750000076899-55	Tagmeter Ultrasonic Water Meter
8cf95720001937e0	68750000076900-57	Tagmeter Ultrasonic Water Meter
8cf9572000192a79	68750000076901-7	Tagmeter Ultrasonic Water Meter
8cf95720001928f1	68750000076902-11	Tagmeter Ultrasonic Water Meter
8cf9572000192e42	68750000076903-20	Tagmeter Ultrasonic Water Meter
8cf9572000193bba	68750000076904-29	Tagmeter Ultrasonic Water Meter
8cf9572000192939	68750000076905-45	Tagmeter Ultrasonic Water Meter
8cf9572000192da6	68750000076906-24	Tagmeter Ultrasonic Water Meter
8cf9572000192ae5	68750000076907-98	Tagmeter Ultrasonic Water Meter
8cf95720001929a5	68750000076908-28	Tagmeter Ultrasonic Water Meter
8cf9572000192185	68750000076909-13	Tagmeter Ultrasonic Water Meter
8cf9572000193ac1	68750000076910-5	Tagmeter Ultrasonic Water Meter
8cf9572000193bb7	68750000076911-53	Tagmeter Ultrasonic Water Meter
8cf95720001928f2	68750000076912-78	Tagmeter Ultrasonic Water Meter
8cf95720001929e8	68750000076913-40	Tagmeter Ultrasonic Water Meter
8cf957200019297e	68750000076914-31	Tagmeter Ultrasonic Water Meter
8cf9572000193a8b	68750000076915-79	Tagmeter Ultrasonic Water Meter
8cf9572000193b4b	68750000076916-35	Tagmeter Ultrasonic Water Meter
8cf95720001928cd	68750000076917-6	Tagmeter Ultrasonic Water Meter
8cf95720001934f5	68750000076918-8	Tagmeter Ultrasonic Water Meter
8cf9572000192da8	68750000076919-41	Tagmeter Ultrasonic Water Meter
8cf95720001929ee	68750000076920-18	Tagmeter Ultrasonic Water Meter
8cf95720001920f4	68750000076921-75	Tagmeter Ultrasonic Water Meter
8cf9572000193c3b	68750000076922-15	Tagmeter Ultrasonic Water Meter
8cf9572000193af6	68750000076923-37	Tagmeter Ultrasonic Water Meter
8cf9572000192b35	68750000076924-62	Tagmeter Ultrasonic Water Meter
8cf957200019296a	68750000076925-50	Tagmeter Ultrasonic Water Meter
8cf95720001925ed	68750000076926-100	Tagmeter Ultrasonic Water Meter
8cf9572000193aff	68750000076927-16	Tagmeter Ultrasonic Water Meter
8cf9572000193c32	68750000076928-54	Tagmeter Ultrasonic Water Meter
8cf9572000193423	68750000076929-51	Tagmeter Ultrasonic Water Meter
8cf95720001933d7	68750000076930-58	Tagmeter Ultrasonic Water Meter
8cf9572000193a13	68750000076931-19	Tagmeter Ultrasonic Water Meter
8cf9572000193960	68750000076932-27	Tagmeter Ultrasonic Water Meter
8cf95720001935ea	68750000076933-26	Tagmeter Ultrasonic Water Meter
8cf9572000193959	68750000076934-59	Tagmeter Ultrasonic Water Meter
8cf9572000192913	68750000076935-36	Tagmeter Ultrasonic Water Meter
8cf95720001928fa	68750000076936-77	Tagmeter Ultrasonic Water Meter
8cf9572000192a03	68750000076937-17	Tagmeter Ultrasonic Water Meter
8cf9572000192b59	68750000076938-48	Tagmeter Ultrasonic Water Meter
8cf9572000193ea4	68750000076939-34	Tagmeter Ultrasonic Water Meter
8cf9572000191c49	68750000076940-30	Tagmeter Ultrasonic Water Meter
8cf957200019381a	68750000076941-3	Tagmeter Ultrasonic Water Meter
8cf9572000192b5d	68750000076942-46	Tagmeter Ultrasonic Water Meter
8cf9572000192a5b	68750000076943-1	Tagmeter Ultrasonic Water Meter
8cf9572000193e2e	68750000076944-47	Tagmeter Ultrasonic Water Meter
8cf9572000192e6e	68750000076945-2	Tagmeter Ultrasonic Water Meter
8cf9572000192f6d	68750000076946-71	Tagmeter Ultrasonic Water Meter
8cf9572000191ac5	68750000076947-10	Tagmeter Ultrasonic Water Meter
8cf9572000193651	68750000076948-86	Tagmeter Ultrasonic Water Meter
8cf9572000193793	68750000076949-22	Tagmeter Ultrasonic Water Meter
8cf9572000193ebf	68750000076950-43	Tagmeter Ultrasonic Water Meter
8cf95720001939e1	68750000076951-65	Tagmeter Ultrasonic Water Meter
8cf9572000192b04	68750000076952-21	Tagmeter Ultrasonic Water Meter
8cf9572000192b2e	68750000076953-61	Tagmeter Ultrasonic Water Meter
8cf9572000192a07	68750000076954-74	Tagmeter Ultrasonic Water Meter
8cf9572000192c14	68750000076955-81	Tagmeter Ultrasonic Water Meter
8cf9572000193746	68750000076956-68	Tagmeter Ultrasonic Water Meter
8cf9572000192f17	68750000076957-76	Tagmeter Ultrasonic Water Meter
8cf9572000192e73	68750000076958-33	Tagmeter Ultrasonic Water Meter
8cf957200019381d	68750000076959-85	Tagmeter Ultrasonic Water Meter
8cf9572000192fa1	68750000076960-38	Tagmeter Ultrasonic Water Meter
8cf9572000193af4	68750000076961-67	Tagmeter Ultrasonic Water Meter
8cf9572000192b38	68750000076962-42	Tagmeter Ultrasonic Water Meter
8cf9572000193bd9	68750000076963-56	Tagmeter Ultrasonic Water Meter
8cf95720001929f1	68750000076964-84	Tagmeter Ultrasonic Water Meter
8cf957200019354a	68750000076965-87	Tagmeter Ultrasonic Water Meter
8cf9572000193965	68750000076966-69	Tagmeter Ultrasonic Water Meter
8cf9572000192a63	68750000076967-80	Tagmeter Ultrasonic Water Meter
8cf9572000193abd	68750000076968-72	Tagmeter Ultrasonic Water Meter
8cf9572000192a8a	68750000076969-25	Tagmeter Ultrasonic Water Meter
8cf9572000193b15	68750000076970-63	Tagmeter Ultrasonic Water Meter
8cf9572000192a5a	68750000076971-44	Tagmeter Ultrasonic Water Meter
8cf9572000193777	68750000076972-4	Tagmeter Ultrasonic Water Meter
8cf9572000193ed1	68750000076973-49	Tagmeter Ultrasonic Water Meter
8cf957200020dafe	68753500170868-94	TagMeter Quinto Prepaid
8cf957200020e150	68753500170869-92	TagMeter Quinto Prepaid
8cf957200020dee1	68753500170870-89	TagMeter Quinto Prepaid
8cf957200020dbe2	68753500170871-97	TagMeter Quinto Prepaid
8cf957200020db8e	68753500170872-88	TagMeter Quinto Prepaid
8cf957200020db4c	68753500170873-90	TagMeter Quinto Prepaid
8cf957200020dc8b	68753500170874-91	TagMeter Quinto Prepaid
8cf957200020da02	68753500170875-96	TagMeter Quinto Prepaid
8cf957200020df0d	68753500170876-93	TagMeter Quinto Prepaid
8cf957200020dcbf	68753500170877-95	TagMeter Quinto Prepaid
